d,State,city,year,CVAPCity,CVAPd,PctCauc,PctB,PctLH,PctAPI,PctAME,PctSA,PctIndO,S,M,ESType,candidate,party,win,race,gender,votes,MS,Women_run_d,Women_run_e,Women_win_e,Women_win_d
city,CA,Agoura Hills ,2018,NA,NA,83,2,11,6,NA,NA,NA,5,3,ALP,Denis Weber,1,1,1,0,3128,15,1,1,1,1
city,CA,Alameda,2014,NA,NA,49,7,12,33,NA,NA,NA,5,2,ALP,Frank Matarrese (1),2,1,1,0,6748,10,0,0,0,0
city,CA,Alameda,2014,NA,NA,49,7,12,33,NA,NA,NA,5,2,ALP,Jim Oddie (2),2,1,1,0,6012,10,0,0,0,0
city,CA,Alameda,2016,NA,NA,49,7,12,33,NA,NA,NA,5,2,ALP,Malia Vella (1),2,1,2,1,13856,10,2,2,2,2
city,CA,Alameda,2016,NA,NA,49,7,12,33,NA,NA,NA,5,2,ALP,Marilyn Ashcraft (2),2,1,1,1,12474,10,2,2,2,2
city,CA,Alameda,2018,NA,NA,49,7,12,33,NA,NA,NA,5,2,ALP,John Knox White(1),2,1,1,0,14203,10,0,0,0,0
city,CA,Alameda,2018,NA,NA,49,7,12,33,NA,NA,NA,5,2,ALP,Tony Daysog (2),2,1,4,0,12455,10,0,0,0,0
city,CA,Albany,2016,NA,NA,61,3,10,29,NA,NA,NA,5,3,ALP,"Nick Pilch,",2,1,1,0,5386,15,0,0,0,0
city,CA,Albany,2016,NA,NA,61,3,10,29,NA,NA,NA,5,3,ALP,"Peter Maas,",2,1,1,0,5328,15,0,0,0,0
city,CA,Albany,2016,NA,NA,61,3,10,29,NA,NA,NA,5,3,ALP,"Michael Barnes,",2,1,1,0,3589,15,0,0,0,0
city,CA,Albany,2018,NA,NA,61,3,10,29,NA,NA,NA,5,2,ALP,"Peggy, McQuaid,",2,1,1,1,4716,10,2,2,2,2
city,CA,Albany,2018,NA,NA,61,3,10,29,NA,NA,NA,5,2,ALP,"Rochelle Nason,",2,1,1,1,4245,10,2,2,2,2
3,CA,Alhambra ,2016,NA,NA,28,2,34,53,NA,NA,NA,5,1,SSD,D3: Jeff Maloney,NA,1,NA,NA,12585,5,0,0,0,0
4,CA,Alhambra ,2016,NA,NA,28,2,34,53,NA,NA,NA,5,1,SSD,D4: David Mejia,NA,1,NA,NA,9780,5,0,0,0,0
1,CA,Alhambra ,2018,NA,NA,28,2,34,53,NA,NA,NA,5,1,SSD,D1: Katherine Lee,2,1,4,1,7421,5,1,2,2,1
2,CA,Alhambra ,2018,NA,NA,28,2,34,53,NA,NA,NA,5,1,SSD,D2: Ross J. Maza,2,1,2,0,14235,5,0,2,2,0
5,CA,Alhambra ,2018,NA,NA,28,2,34,53,NA,NA,NA,5,1,SSD,D5: Adele Andrade-Stadler,2,1,2,1,9462,5,1,2,2,1
city,CA,Aliso Viejo,2016,NA,NA,71,3,17,14,NA,NA,NA,5,2,ALP,Mike Munzong,1,1,1,0,11344,10,0,0,0,0
city,CA,Aliso Viejo,2016,NA,NA,71,3,17,14,NA,NA,NA,5,2,ALP,William Phillips,2,1,1,0,9027,10,0,0,0,0
city,CA,Aliso Viejo,2018,NA,NA,71,3,17,14,NA,NA,NA,5,2,ALP,Tiffany Ackley,2,1,1,1,9626,10,1,1,1,1
city,CA,Aliso Viejo,2018,NA,NA,71,3,17,14,NA,NA,NA,5,2,ALP,David Harrington,1,1,1,0,8702,10,1,1,1,1
1,CA,Anaheim,2016,NA,NA,60,3,53,15,NA,NA,NA,6,1,SSD,"Denise Barnes,",1,1,2,1,3646,6,1,2,2,1
3,CA,Anaheim,2016,NA,NA,60,3,53,15,NA,NA,NA,6,1,SSD,"Jose Moreno,",2,1,2,0,4647,6,0,2,2,0
4,CA,Anaheim,2016,NA,NA,60,3,53,15,NA,NA,NA,6,1,SSD,"Lucille Kring,",1,1,1,1,4936,6,1,2,2,1
5,CA,Anaheim,2016,NA,NA,60,3,53,15,NA,NA,NA,6,1,SSD,"Steve Faessel,",1,1,1,0,6344,6,0,2,2,0
2,CA,Anaheim,2018,NA,NA,60,3,53,15,NA,NA,NA,6,1,SSD,"Jordan Brandman,",2,1,1,0,4567,6,0,1,1,0
3,CA,Anaheim,2018,NA,NA,60,3,53,15,NA,NA,NA,6,1,SSD,"Jose Moreno,",2,1,2,1,5905,6,1,1,1,1
6,CA,Anaheim,2018,NA,NA,60,3,53,15,NA,NA,NA,6,1,SSD,"Trevor O'Neil,",1,1,1,0,10362,6,0,1,1,0
city,CA,Antioch,2016,NA,NA,52,18,32,10,NA,NA,NA,5,2,ALP,Lamar Thrope,2,1,3,0,13427,10,1,1,1,1
city,CA,Antioch,2016,NA,NA,52,18,32,10,NA,NA,NA,5,2,ALP,Monica Wilson,2,1,3,1,11655,10,1,1,1,1
city,CA,Antioch,2018,NA,NA,52,18,32,10,NA,NA,NA,5,2,ALP,Joy Motts,2,1,1,1,12751,10,2,2,2,2
city,CA,Antioch,2018,NA,NA,52,18,32,10,NA,NA,NA,5,2,ALP,Lori Ogorchock,NA,1,1,1,10435,10,2,2,2,2
city,CA,Arcadia,2016,NA,NA,33,1,13,57,NA,NA,NA,5,2,ALP,Peter Amundson,NA,1,NA,NA,4122,10,0,0,0,0
city,CA,Arcadia,2016,NA,NA,33,1,13,57,NA,NA,NA,5,2,ALP,April A. Verlato,NA,1,NA,NA,4077,10,0,0,0,0
2,CA,Arcadia,2018,NA,NA,33,1,13,57,NA,NA,NA,5,1,SSD,Tom Beck,NA,1,NA,NA,1080,5,0,0,0,0
5,CA,Arcadia,2018,NA,NA,33,1,13,57,NA,NA,NA,5,1,SSD,Roger Chandler,NA,1,NA,NA,804,5,0,0,0,0
city,CA,Arroyo Grande,2016,NA,NA,86,2,13,5,NA,NA,NA,5,2,ALP,Caren Ray,2,1,1,1,4963,10,2,2,2,2
city,CA,Arroyo Grande,2016,NA,NA,86,2,13,5,NA,NA,NA,5,2,ALP,Kristen Barneich,2,1,1,1,4109,10,2,2,2,2
city,CA,Arroyo Grande,2018,NA,NA,86,2,13,5,NA,NA,NA,5,2,ALP,Jimmy Paulding,2,1,1,0,5253,10,0,0,0,0
city,CA,Arroyo Grande,2018,NA,NA,86,2,13,5,NA,NA,NA,5,2,ALP,Keith Storton,2,1,1,0,4500,10,0,0,0,0
city,CA,Artesia,2018,NA,NA,38,4,36,35,NA,NA,NA,5,3,ALP,Ali S. Taj,2,1,5,0,1988,15,1,1,1,1
city,CA,Artesia,2018,NA,NA,38,4,36,35,NA,NA,NA,5,3,ALP,Rene J. Trevino,2,1,1,0,1823,15,1,1,1,1
city,CA,Artesia,2018,NA,NA,38,4,36,35,NA,NA,NA,5,3,ALP,Melissa Ramoso,2,1,2,1,1762,15,1,1,1,1
city,CA,Atascadero,2016,NA,NA,89,2,14,2,NA,NA,NA,5,2,ALP,Roberta Fonzi,1,1,1,1,7723,10,1,1,1,1
city,CA,Atascadero,2016,NA,NA,89,2,14,2,NA,NA,NA,5,2,ALP,Charles Bourbeau,1,1,1,0,6464,10,1,1,1,1
city,CA,Atascadero,2018,NA,NA,89,2,14,2,NA,NA,NA,5,2,ALP,Heather Newsom,1,1,1,1,6886,10,2,2,2,2
city,CA,Atascadero,2018,NA,NA,89,2,14,2,NA,NA,NA,5,2,ALP,Susan Funk,2,1,1,1,6834,10,2,2,2,2
city,CA,Avalon ,2016,NA,NA,94,1,62,0.5,NA,NA,NA,5,2,ALP,Richard Hernandez,NA,1,NA,NA,352,10,0,0,0,0
city,CA,Avalon ,2016,NA,NA,94,1,62,0.5,NA,NA,NA,5,2,ALP,W.F. (Oley) Olsen,NA,1,NA,NA,303,10,0,0,0,0
city,CA,Azusa,2017,NA,NA,45,4,67,8,NA,NA,NA,5,2,ALP,Robert Gonzales,2,1,2,0,2075,10,0,0,0,0
city,CA,Azusa,2017,NA,NA,45,4,67,8,NA,NA,NA,5,2,ALP,Edward J. Alvarez,1,1,2,0,1907,10,0,0,0,0
city,CA,Baldwin Park ,2015,NA,NA,35,1,79,15,NA,NA,NA,5,2,ALP,Ricardo Pacheco,NA,1,NA,NA,2289,10,0,0,0,0
city,CA,Baldwin Park ,2015,NA,NA,35,1,79,15,NA,NA,NA,5,2,ALP,Monica Garcia,NA,1,NA,NA,2091,10,0,0,0,0
city,CA,Baldwin Park ,2018,NA,NA,35,1,79,15,NA,NA,NA,5,2,ALP,Alejandra Avila,2,1,2,1,7247,10,1,1,1,1
city,CA,Baldwin Park ,2018,NA,NA,35,1,79,15,NA,NA,NA,5,2,ALP,Paul C. Hernandez,2,1,1,0,4959,10,1,1,1,1
city,CA,Bell Gardens ,2018,NA,NA,63,1,97,0.5,NA,NA,NA,5,3,ALP,Alejandra Cortez,2,1,2,1,3155,15,2,2,2,2
city,CA,Bell Gardens ,2018,NA,NA,63,1,97,0.5,NA,NA,NA,5,3,ALP,Marco Barcena,2,1,2,0,2974,15,2,2,2,2
city,CA,Bell Gardens ,2018,NA,NA,63,1,97,0.5,NA,NA,NA,5,3,ALP,Lisseth Flores,2,1,1,1,2645,15,2,2,2,2
city,CA,Bell,2015,NA,NA,64,1,92,0.5,NA,NA,NA,5,3,ALP,Ali Saleh,NA,1,NA,NA,1080,15,0,0,0,0
city,CA,Bell,2015,NA,NA,64,1,92,0.5,NA,NA,NA,5,3,ALP,Fidencio Joel Gallardo,NA,1,NA,NA,1029,15,0,0,0,0
